CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,CABINET MAKER,KITCHEN,OVERHEAD CUPBOARDS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,KITCHEN,OVERHEAD CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,KITCHEN,OVERHEAD CABINETS - SHAKER STYLE,LM,,,
,CABINET MAKER,KITCHEN,POT DRAWS SET OF 2 ,ITEM,,,
,CABINET MAKER,KITCHEN,3 DRAWER CUPBOARD 2 LGE & 1 SML ,ITEM,,,
,CABINET MAKER,KITCHEN,4 DRAWER CUTLERY CUPBOARD,ITEM,,,
,CABINET MAKER,KITCHEN,UPGRADE TO SOFT CLOSE DOORS AND DRAWERS,EACH,,,
,BENCHTOPS,KITCHEN,BUILDERS RANGE LAMINATE BENCHTOPS ,ITEM,,,
,BENCHTOPS,KITCHEN,20mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,KITCHEN,20mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,BENCHTOPS,KITCHEN,40mm STONE TOPS - BUILDERS RANGE,ITEM,,,
,BENCHTOPS,KITCHEN,40mm STONE TOPS - PREMIUM RANGE,ITEM,,,
,CABINET MAKER,KITCHEN,UPGRADE TO SPECIALTY STONE FEATURE,ITEM,,,
,CABINET MAKER,KITCHEN,20mm WATERFALL ENDS,ITEM,,,
,CABINET MAKER,KITCHEN,40mm WATERFALL ENDS,ITEM,,,
,CABINET MAKER,KITCHEN,MICROWAVE UNDERBENCH CUPBOARD - STD COLOUR BOARD,ITEM,,,
,CABINET MAKER,KITCHEN,5 SHELF MELAMINE OPEN SHELVES CLEATED,ITEM,,,
,CABINET MAKER,KITCHEN,WALL OVEN TOWER,ITEM,,,
,CABINET MAKER,KITCHEN,ADD FOR 300mm CRAFTWOOD BULKHEADS,LM,,,
,,,,,,,
,,BUTLERS PANTRY,,,,,
,CABINET MAKER,BUTLERS PANTRY,BASE CABINETS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,BUTLERS PANTRY,BASE CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,BUTLERS PANTRY,BASE CABINETS - SHAKER STYLE,LM,,,
,CABINET MAKER,BUTLERS PANTRY,ISLAND BENCH BACK PANELS,LM,,,
,CABINET MAKER,BUTLERS PANTRY,OVERHEAD CUPBOARDS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,BUTLERS PANTRY,OVERHEAD CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,BUTLERS PANTRY,OVERHEAD CABINETS - SHAKER STYLE,LM,,,
,CABINET MAKER,BUTLERS PANTRY,POT DRAWS SET OF 2 ,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,3 DRAWER CUPBOARD 2 LGE & 1 SML ,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,4 DRAWER CUTLERY CUPBOARD,ITEM,,,
,CABINET MAKER,BUTLERS PANTRY,UPGRADE TO SOFT CLOSE DOORS AND DRAWERS,EACH,,,
,BENCHTOPS,BUTLERS PANTRY,BUILDERS RANGE LAMINATE BENCHTOPS ,ITEM,,,
