pack_id,pack_source_row_id,brand,pack_name,pack_price,component_product_id,component_source_row_id,component_family,contains_oven,contains_cooktop,contains_rangehood,contains_dishwasher,contains_microwave,contains_refrigerator,contains_freestanding_cooker,contains_other_appliance_component,unresolved_component_families
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:ovens:smeg:sf64m3tvx,1341,ovens,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:cooktops:smeg:si2641d,1342,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:rangehoods:smeg:sth600x,1343,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:dishwashers:smeg:dwau6315x3,1344,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:ovens:smeg:sf64m3tvx,1346,ovens,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:cooktops:smeg:pga64,1347,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:rangehoods:smeg:sth600x,1348,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,1345,Smeg,SMEG PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,5096,product:appliances:dishwashers:smeg:dwau6315x3,1349,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:rangehoods:smeg:shw610x1,1351,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:rangehoods:smeg:pum601x,1352,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:ovens:smeg:sfpa9395x1,1353,ovens,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:cooktops:smeg:sai4954d,1354,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:rangehoods:smeg:sth900x,1355,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1350,Smeg,SMEG PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,4996,product:appliances:dishwashers:smeg:dwau6315x3,1356,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1357,Smeg,SMEG PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,10096,product:appliances:ovens:smeg:sfpa9395x1,1358,ovens,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1357,Smeg,SMEG PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,10096,product:appliances:cooktops:smeg:pga95,1359,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:smeg:smeg-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1357,Smeg,SMEG PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,10096,product:appliances:rangehoods:smeg:sth900x,1360,rangehoods,true,true,true,true,false,false,false,false,
